8U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Monday, September 13, 2021",6:30 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field Softball Field
"Wednesday, September 15, 2021",6:30 PM,Spotswood #2,Sayreville #1,Sayreville AA Complex Field Softball Field
"Saturday, September 18, 2021",2:30 PM,Spotswood #2,Old Bridge #1,Cheesequake Road Field B
"Saturday, September 18, 2021",10:00 AM,Old Bridge #2,Spotswood #1,Spotswood Back Field
"Sunday, September 19, 2021",5:00 PM,South Amboy #1,Old Bridge #2,Cheesequake Road Field B
"Friday, September 24, 2021",6:30 PM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Saturday, September 25, 2021",10:00 AM,Old Bridge #2,Spotswood #2,Spotswood Back Field
"Saturday, September 25, 2021",12:00 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Saturday, September 25, 2021",5:00 PM,Sayreville #1,Old Bridge #1,Cheesequake Road Field B
"Sunday, September 26, 2021",9:30 AM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field A
"Monday, September 27, 2021",6:30 PM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field Softball Field
"Monday, September 27, 2021",6:30 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 02, 2021",9:30 AM,Sayreville #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 02, 2021",10:00 AM,South Amboy #1,Spotswood #2,Spotswood Back Field
"Sunday, October 03, 2021",9:30 AM,Spotswood #2,Old Bridge #1,Cheesequake Road Field A
"Sunday, October 03, 2021",9:30 AM,Spotswood #1,Old Bridge #2,Cheesequake Road Field A
"Monday, October 04, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Friday, October 08, 2021",6:30 PM,Old Bridge #1,Sayreville #1,Sayreville AA Complex Field Softball Field
"Saturday, October 09, 2021",10:00 AM,Spotswood #2,Spotswood #1,Spotswood Back Field
"Saturday, October 09, 2021",12:00 PM,Sayreville #1,South Amboy #1,South Amboy Softball
"Sunday, October 10, 2021",9:30 AM,Spotswood #2,Old Bridge #2,Cheesequake Road Field A
"Sunday, October 10, 2021",9:30 AM,Spotswood #1,Old Bridge #1,Cheesequake Road Field B
"Monday, October 11, 2021",6:30 PM,Old Bridge #2,Sayreville #1,Sayreville AA Complex Field Softball Field
"Thursday, October 14, 2021",6:30 PM,Old Bridge #1,Spotswood #2,Spotswood Front Field
"Saturday, October 16, 2021",10:00 AM,South Amboy #1,Spotswood #1,Spotswood Back Field
"Sunday, October 17, 2021",5:00 PM,South Amboy #1,Old Bridge #1,Cheesequake Road Field A
"Monday, October 18, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy Softball
"Friday, October 22, 2021",6:30 PM,Spotswood #1,Sayreville #1,Sayreville AA Complex Field Softball Field
"Saturday, October 23, 2021",10:00 AM,Sayreville #1,Spotswood #2,Spotswood Back Field
"Saturday, October 23, 2021",5:00 PM,Old Bridge #1,Old Bridge #2,Cheesequake Road Field A
"Sunday, October 24, 2021",9:30 AM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field A
"Monday, October 25, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Wednesday, October 27, 2021",6:30 PM,South Amboy #1,Sayreville #1,Sayreville AA Complex Field Softball Field
"Saturday, October 30, 2021",10:00 AM,Sayreville #1,Spotswood #1,Spotswood Back Field
10U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Monday, September 13, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy Softball
"Wednesday, September 15, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Thursday, September 16, 2021",6:30 PM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, September 18, 2021",12:00 PM,Perth Amboy #1,Spotswood #1,Spotswood Back Field
"Saturday, September 18, 2021",2:30 PM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field A
"Wednesday, September 22, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Thursday, September 23, 2021",6:30 PM,Spotswood #2,Perth Amboy #1,Youth Complex Field 2
"Saturday, September 25, 2021",2:30 PM,South Amboy #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, September 25, 2021",2:30 PM,Perth Amboy #1,Old Bridge #1,Cheesequake Road Field B
"Saturday, September 25, 2021",4:00 PM,Spotswood #1,Spotswood #2,Spotswood Back Field
"Wednesday, September 29, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy Softball
"Friday, October 01, 2021",6:30 PM,South Amboy #1,Old Bridge #1,Mannino Park
"Friday, October 01, 2021",6:30 PM,Spotswood #2,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 02, 2021",12:00 PM,Spotswood #1,Old Bridge #2,Cheesequake Road Field B
"Tuesday, October 05, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Thursday, October 07, 2021",6:30 PM,Old Bridge #2,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 09, 2021",12:00 PM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 09, 2021",2:00 PM,Old Bridge #2,Spotswood #2,Spotswood Back Field
"Saturday, October 09, 2021",4:00 PM,South Amboy #1,Spotswood #1,Spotswood Back Field
"Monday, October 11, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Wednesday, October 13, 2021",6:30 PM,Old Bridge #1,Spotswood #2,Spotswood Front Field
"Friday, October 15, 2021",6:00 PM,Spotswood #2,Old Bridge #1,Mannino Park
"Saturday, October 16, 2021",12:00 PM,South Amboy #1,Spotswood #2,Spotswood Back Field
"Saturday, October 16, 2021",12:00 PM,Spotswood #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 16, 2021",12:00 PM,Old Bridge #2,Perth Amboy #1,Youth Complex Field 2
"Tuesday, October 19, 2021",6:30 PM,Perth Amboy #1,Spotswood #2,Spotswood Front Field
"Wednesday, October 20, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",2:00 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",2:30 PM,Perth Amboy #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 23, 2021",4:00 PM,Spotswood #2,Spotswood #1,Spotswood Back Field
"Wednesday, October 27, 2021",6:30 PM,Spotswood #2,South Amboy #1,South Amboy Softball
"Wednesday, October 27, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Thursday, October 28, 2021",6:30 PM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 30, 2021",9:30 AM,Spotswood #2,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 30, 2021",12:00 PM,South Amboy #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 30, 2021",12:00 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 2
12U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Thursday, September 16, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Saturday, September 18, 2021",12:00 PM,South Amboy #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, September 18, 2021",12:00 PM,Manalapan #1,Old Bridge #1,Cheesequake Road Field A
"Tuesday, September 21, 2021",6:30 PM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Thursday, September 23, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Saturday, September 25, 2021",9:30 AM,Spotswood #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, September 25, 2021",9:30 AM,Manalapan #1,Old Bridge #2,Cheesequake Road Field B
"Monday, September 27, 2021",6:30 PM,Manalapan #1,Spotswood #1,Spotswood Front Field
"Thursday, September 30, 2021",6:30 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Saturday, October 02, 2021",9:30 AM,Spotswood #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 02, 2021",12:00 PM,South Amboy #1,Old Bridge #1,Cheesequake Road Field A
"Thursday, October 07, 2021",6:30 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 09, 2021",9:30 AM,Old Bridge #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 09, 2021",10:00 AM,Spotswood #1,South Amboy #1,South Amboy Softball
"Thursday, October 14, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Saturday, October 16, 2021",9:30 AM,South Amboy #1,Old Bridge #2,Cheesequake Road Field B
"Saturday, October 16, 2021",10:00 AM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Thursday, October 21, 2021",6:30 PM,Old Bridge #1,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",9:30 AM,Manalapan #1,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 23, 2021",10:00 AM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Wednesday, October 27, 2021",6:30 PM,Old Bridge #1,Old Bridge #2,Mannino Park
"Thursday, October 28, 2021",6:30 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, October 30, 2021",9:30 AM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field A
"Saturday, October 30, 2021",10:00 AM,South Amboy #1,Spotswood #1,Spotswood Front Field
16U Softball Schedule,,,,
Date,Start Time,Visitor Name,Home Name,Venue Name
"Tuesday, September 14, 2021",6:30 PM,Perth Amboy #1,South Amboy #1,South Amboy Softball
"Wednesday, September 15, 2021",6:30 PM,Old Bridge #2,Spotswood #1,Spotswood Front Field
"Saturday, September 18, 2021",9:30 AM,Spotswood #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, September 18, 2021",10:00 AM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Tuesday, September 21, 2021",6:30 PM,Old Bridge #2,South Amboy #1,South Amboy Softball
"Wednesday, September 22, 2021",6:30 PM,Spotswood #1,Old Bridge #1,Mannino Park
"Saturday, September 25, 2021",2:00 PM,South Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, September 25, 2021",5:00 PM,Old Bridge #1,Old Bridge #2,Cheesequake Road Field A
"Wednesday, September 29, 2021",6:30 PM,South Amboy #1,Old Bridge #1,Mannino Park
"Wednesday, September 29, 2021",6:30 PM,Perth Amboy #1,Spotswood #1,Spotswood Front Field
"Saturday, October 02, 2021",10:00 AM,Old Bridge #2,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 02, 2021",4:00 PM,Spotswood #1,South Amboy #1,South Amboy Softball
"Wednesday, October 06, 2021",6:30 PM,Spotswood #1,Perth Amboy #1,Youth Complex Field 2
"Saturday, October 09, 2021",10:00 AM,Old Bridge #1,Spotswood #1,Spotswood Front Field
"Saturday, October 09, 2021",10:00 AM,South Amboy #1,Perth Amboy #1,Youth Complex Field 2
"Wednesday, October 13, 2021",6:30 PM,Perth Amboy #1,Old Bridge #1,Mannino Park
"Saturday, October 16, 2021",9:30 AM,South Amboy #1,Old Bridge #2,Cheesequake Road Field A
"Saturday, October 16, 2021",10:00 AM,Old Bridge #1,Perth Amboy #1,Youth Complex Field 2
"Wednesday, October 20, 2021",6:30 PM,Spotswood #1,Old Bridge #2,Mannino Park
"Saturday, October 23, 2021",4:00 PM,Perth Amboy #1,South Amboy #1,South Amboy Softball
"Saturday, October 23, 2021",5:00 PM,Old Bridge #2,Old Bridge #1,Cheesequake Road Field B
"Friday, October 29, 2021",6:30 PM,Perth Amboy #1,Old Bridge #2,Mannino Park
"Saturday, October 30, 2021",4:00 PM,Old Bridge #1,South Amboy #1,South Amboy Softball